행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
서울 강북구,번3동,음식,11,2.6363636363636362,5.489090909090909,2.4849066497880004,3.439204461034634,6.623922964980818,4.133715856767487
경기 수원시,정자1동,문화,2,5.0,9.75,1.0986122886681098,4.03684646850022,7.560688299222187,4.13366501927718
경기 수원시,고등동,힐링,3,4.0,7.47,1.3862943611198906,3.9398537795240185,7.339226951640178,4.133479804715913
경기 성남시,정자3동,문화,7,3.4285714285714284,5.198571428571428,2.0794415416798357,3.7894771748001754,6.724150639377749,4.133062874436584
경기 평택시,신평동,액티비티,2,5.0,9.73,1.0986122886681098,4.03684646850022,7.5586882992221875,4.133015025692834
경기 부천시,상1동,힐링,5,3.4,5.92,1.791759469228055,3.8146491030436693,7.0136419993236405,4.1325054163580575
인천 옹진군,북도면,음식,2,5.0,9.71,1.0986122886681098,4.03684646850022,7.556688299222188,4.132365032108487
서울 강남구,개포4동,문화,2,5.0,9.705,1.0986122886681098,4.03684646850022,7.556188299222187,4.132202533712399
서울 중구,노량진1동,음식,5,3.2,6.096,1.791759469228055,3.771170842174104,7.051902868888858,4.131105994423715
서울 강북구,송천동,쇼핑,3,3.6666666666666665,7.733333333333333,1.3862943611198906,3.892234731904971,7.376845999259225,4.130554261107079
경기 파주시,교하동,액티비티,3,4.0,7.403333333333333,1.3862943611198906,3.9398537795240185,7.329703142116369,4.130384597171402
경기 수원시,파장동,문화,5,3.6,5.686,1.791759469228055,3.8581273639132343,6.96277243410625,4.129807052651949
서울 중랑구,망우본동,문화,2,5.0,9.629999999999999,1.0986122886681098,4.03684646850022,7.548688299222187,4.129765057771097
서울 강서구,가양3동,힐링,2,5.0,9.620000000000001,1.0986122886681098,4.03684646850022,7.547688299222187,4.129440060978923
경기 수원시,영통3동,힐링,4,3.75,6.245,1.6094379124341003,3.897133153182018,7.122443908383806,4.129054927977044
서울 용산구,이태원1동,액티비티,4,3.5,6.4475,1.6094379124341003,3.851678607727472,7.159262090201988,4.126557815252406
경기 수원시,영통2동,액티비티,20,2.85,4.9305,3.044522437723423,3.361498141315905,6.0611517364327305,4.125773842723806
인천 중구,영종2동,문화,5,3.2,5.982,1.791759469228055,3.771170842174104,7.027120260193206,4.123051726095933
서울 관악구,난곡동,힐링,3,4.0,7.23,1.3862943611198906,3.9398537795240185,7.3049412373544635,4.122337057555673
서울 성북구,성북동,힐링,2,5.0,9.395,1.0986122886681098,4.03684646850022,7.525188299222187,4.122127633155016
경기 안산시,와동,음식,2,5.0,9.379999999999999,1.0986122886681098,4.03684646850022,7.5236882992221865,4.1216401379667555
경기 안양시,석수2동,음식,2,4.5,9.844999999999999,1.0986122886681098,3.9868464685002194,7.5701882992221865,4.120843294722696
경기 가평군,팽성읍,음식,2,4.5,9.835,1.0986122886681098,3.9868464685002194,7.569188299222188,4.120518297930523
경기 광명시,소하2동,힐링,2,4.5,9.815000000000001,1.0986122886681098,3.9868464685002194,7.567188299222186,4.119868304346174
경기 안양시,박달2동,힐링,4,3.5,6.33,1.6094379124341003,3.851678607727472,7.137898453838352,4.11961470196506
서울 광진구,광장동,액티비티,4,3.5,6.3125,1.6094379124341003,3.851678607727472,7.134716635656534,4.11858062126269
서울 용산구,명동,음식,2,4.5,9.75,1.0986122886681098,3.9868464685002194,7.560688299222187,4.117755825197046
경기 양주시,회천1동,액티비티,2,4.5,9.74,1.0986122886681098,3.9868464685002194,7.559688299222186,4.117430828404872
